local_repo	remote_url	commit
package-lint	https://github.com/purcell/package-lint.git	7e2dfcf99011fa82d92baba973841db717657964
peg	https://github.com/emacs-straight/peg.git	a913f2e152958505c85c8658fa69b64d3aa04130
persist	https://github.com/emacs-straight/persist.git	a4c6e759e340d7af9b3f2aad21d279f336cfde68
persp-mode.el	https://github.com/Bad-ptr/persp-mode.el.git	40e9993a9711cba5fb56dfec81a507fabeba9668
pkg-info	https://github.com/emacsorphanage/pkg-info.git	76ba7415480687d05a4353b27fea2ae02b8d9d61
polymode	https://github.com/polymode/polymode.git	8cb72fa5dcc0d98746c680043dc121edc7621e3a
popup-el	https://github.com/auto-complete/popup-el.git	45a0b759076ce4139aba36dde0a2904136282e73
posframe	https://github.com/tumashu/posframe.git	fcf1757baee481f617fbf2dc39f8c561207df263
project	https://github.com/emacs-straight/project.git	f4ec26c30a08663e93449317a5f765032ab84f28
projectile	https://github.com/bbatsov/projectile.git	957d808849e317d2f412ab8e844da48727df3917
pyvenv	https://github.com/jorgenschaefer/pyvenv.git	31ea715f2164dd611e7fc77b26390ef3ca93509b
queue	https://github.com/emacs-straight/queue.git	8df1334d54d4735d2f821790422a850dfaaa08ef
quickrun	https://github.com/emacsorphanage/quickrun.git	9199e222f95104ee83e115a9d5ac159d86816706
rainbow-mode	https://github.com/emacs-straight/rainbow-mode.git	2e6b18609c2fdd1a2dc513937a64d276fd6cf24c
restart-emacs	https://github.com/iqbalansari/restart-emacs.git	1607da2bc657fe05ae01f7fdf26f716eafead02c
restclient	https://github.com/emacsorphanage/restclient.git	1800a4e367c250051617d0b8c16a7cbd7f47da69
s.el	https://github.com/magnars/s.el.git	dda84d38fffdaf0c9b12837b504b402af910d01d
sass-mode	https://github.com/nex3/sass-mode.git	247a0d4b509f10b28e4687cd8763492bca03599b
seq	https://github.com/emacs-straight/seq.git	da86da9bf111f68fb81efd466d76d53af5aebc00
shrink-path.el	https://gitlab.com/bennya/shrink-path.el.git	c14882c8599aec79a6e8ef2d06454254bb3e1e41
side-hustle	https://github.com/rnkn/side-hustle.git	94450b58cec1b809afe08d0754a6662839efbc9d
smartparens	https://github.com/Fuco1/smartparens.git	82d2cf084a19b0c2c3812e0550721f8a61996056
snippets	https://github.com/doomemacs/snippets.git	fd4edaaf0c8476a26994db17d084b36733c635e2
spinner	https://github.com/emacs-straight/spinner.git	fa117f0893788f3fe24673715a6b83bb34d238dd
straight.el	https://github.com/radian-software/straight.el	e40a5b7f8b0c1bb2cde0e7e477b5f81303e34b95
swiper	https://github.com/abo-abo/swiper.git	ec9421340c88ebe08f05680e22308ed57ed68a3d
tablist	https://github.com/emacsorphanage/tablist.git	fcd37147121fabdf003a70279cf86fbe08cfac6f
taxy	https://github.com/emacs-straight/taxy.git	aa05706b33d3576e0ecc476962c90607b9570bd5
taxy-magit-section	https://github.com/emacs-straight/taxy-magit-section.git	d5d12922d1db83987fdebf2056c7cb014a0aefb0
themes	https://github.com/doomemacs/themes.git	53645a905dfb3055db52f5d418d5ef612027e062
toc-org	https://github.com/snosov1/toc-org.git	6d3ae0fc47ce79b1ea06cabe21a3c596395409cd
transient	https://github.com/magit/transient.git	9e78954343613786cdb0659183b766099f051149
treesit-fold	https://github.com/emacs-tree-sitter/treesit-fold	e6b215b8f25f8c58606ab4f850794b61b61111e1
ts.el	https://github.com/alphapapa/ts.el.git	552936017cfdec89f7fc20c254ae6b37c3f22c5b
undo-tree	https://github.com/emacs-straight/undo-tree.git	d8f72bbe7d3c3a2808986febd3bb1a46d4da7f51
use-package	https://github.com/emacs-straight/use-package.git	4b3484b550431f74ab9cda060a8dc983fe482131
vertico	https://github.com/minad/vertico.git	9e09fdddd6d3d995173cae0904347f46c2cdc55d
vi-tilde-fringe	https://github.com/syl20bnr/vi-tilde-fringe.git	f1597a8d54535bb1d84b442577b2024e6f910308
vimish-fold	https://github.com/matsievskiysv/vimish-fold.git	f71f374d28a83e5f15612fa64aac1b2e78be2dcd
web-mode	https://github.com/fxbois/web-mode.git	e93b3fb89fd6345a5ff59795bed712abd486200a
wfnames	https://github.com/thierryvolpiatto/wfnames.git	6ea49841ab76f44c0164b9f4722da2f9d46228da
with-editor	https://github.com/magit/with-editor.git	f8f56876966e17566e129df183c46a26da10b04a
xref	https://github.com/emacs-straight/xref.git	bd31f9ac86a105c01631b29e6f442049500e9928
yaml-mode	https://github.com/yoshiki/yaml-mode.git	96ef0201101a7cd591febd5886633154dae8834c
yasnippet	https://github.com/joaotavora/yasnippet.git	c1e6ff23e9af16b856c88dfaab9d3ad7b746ad37
yasnippet-capf	https://github.com/elken/yasnippet-capf.git	f53c42a996b86fc95b96bdc2deeb58581f48c666
